Theme,
------,------
Hyper Real,Hyper Real
Hyperrealistic,Hyperrealistic
Magic Realism,Magic Realism
Fantastic Realism,Fantastic Realism
Contemporary Realism,Contemporary Realism
New Realism,New Realism
Surreal,Surreal
Surrealism,Surrealism
Ethereal,Ethereal
Ethereality or Lucid,Ethereality or Lucid
Fiction,Fiction
Science Fiction,Science Fiction
Imagined,Imagined
Imaginative,Imaginative
Imagination,Imagination
Dreamlike,Dreamlike
Dreamy,Dreamy
Dreampunk,Dreampunk
Dreamcore or Weirdcore,Dreamcore or Weirdcore
Fever-Dream,Fever-Dream
Otherworldly,Otherworldly
Unworldly,Unworldly
Another Realm,Another Realm
Abstract,Abstract
Abstraction,Abstraction
Fantasy,Fantasy
Ethereal Fantasy,Ethereal Fantasy
Dark Fantasy,Dark Fantasy
Illusion,Illusion
Impossible,Impossible
Exaggerated,Exaggerated
Exaggeration,Exaggeration
Visual Exaggeration,Visual Exaggeration
Immaterial,Immaterial
Intangible,Intangible
